date,cryptotype,close_percentage,open_percentage
2020-01-07,Doge,-99.38171283532003,-99.38663601506849
2020-01-06,Doge,-99.37518364855899,-99.40859217301293
2020-01-05,Doge,-99.40499090896552,-99.35116842572688
2020-01-04,Doge,-99.3445248125711,-99.35426482546087
2020-01-03,Doge,-99.34935071597822,-99.43477062869178
2020-01-02,Doge,-99.43025608042831,-99.42632596768374
2020-01-01,Doge,-99.42173972975439,-99.43251870161251
2019-12-31,Doge,-99.42770115539746,-99.43139273807289
2019-12-30,Doge,-99.42287518589474,-99.40465130062421
2019-12-29,Doge,-99.40101658113974,-99.39170285099685
2019-12-28,Doge,-99.38767432705869,-99.4038068279695
2019-12-27,Doge,-99.40357150617061,-99.3798802993699
2019-12-26,Doge,-99.38710656594071,-99.37847284494536
2019-12-25,Doge,-99.37631917079493,-99.39648813050108
2019-12-24,Doge,-99.39193246934785,-99.38100626290954
2019-12-23,Doge,-99.37518364855899,-99.39874005758035
2019-12-22,Doge,-99.39391963326074,-99.4040883188544
2019-12-21,Doge,-99.39902941722686,-99.41844428844551
2019-12-20,Doge,-99.4072618873418,-99.34947954595664
2019-12-19,Doge,-99.34253764865821,-99.36974669305242
2019-12-18,Doge,-99.36524789509014,-99.38185073556427
